metadata;file;TIMELINE_L3_LSTD;datatype
id;*.nc;filename;String
collection;static;TIMELINE_L3_LSTD;String
properties/version;*.nc;product_version;String
properties/created;*.nc;history:([^\.]+);DateTime
properties/updated;*.nc;history:([^\.]+);DateTime
properties/start_datetime;*.nc;time_coverage_start;DateTime
properties/end_datetime;*.nc;time_coverage_end;DateTime
properties/platform;*.nc;platform;String
properties/instrument;*.nc;sensor;String
properties/license;*.nc;license;String
properties/project;*.nc;project;String
properties/proj:epsg;static;9820;Int
properties/processing:facility;static;OP;String
properties/processing:level;static;L3;String
properties/TIMELINE:resolution;*.nc;spatial_resolution;String
properties/TIMELINE:datasource;*.nc;source;String
providers/name;*.nc;institution;String
providers/description;*.nc;creator_name;String
providers/roles;static;producer;String
providers/url;*.nc;creator_url;String
bbox/0;*.nc;geospatial_lon_min;Double
bbox/1;*.nc;geospatial_lon_max;Double
bbox/2;*.nc;geospatial_lat_min;Double
bbox/3;*.nc;geospatial_lat_max;Double
new_date;*.nc;now;Datetime